"id_labelLanguage","id_label","id_language","description"
578,443,2,"Quitter                                                                                                "
579,444,2,"MenuStrip1                                                                                          "
581,446,2,"&Quitter                                                                                               "
582,447,2,"&Paramètres"
583,448,2,"Nom                                                                                                "
584,449,2,"Nom Voiture                                                                                            "
585,450,2,"Model Voiture                                                                                           "
586,451,2,"Formulas                                                                                            "
587,452,2,"Voiture                                                                                                 "
588,453,2,"Model:                                                                                              "
589,454,2,"Nom:                                                                                               "
590,455,2,"Nom Formule:                                                                                       "
591,456,2,"Go                                                                                                  "
592,457,2,"Famille Formule                                                                                       "
593,458,2,"Tous                                                                                                 "
594,459,2,"BC                                                                                                  "
595,460,2,"2K                                                                                                  "
596,461,2,"- -                                                                                                 "
597,462,2,"Formule Selectionnee:                                                                                   "
598,463,2,"Type                                                                                                "
599,464,2,"Hue"
600,465,2,"Details                                                                                             "
601,466,2,"Quantitee Totale:                                                                                     "
602,467,2,"- -                                                                                                 "
603,468,2,"Devise:                                                                                           "
604,469,2,"Prix Total:                                                                                        "
605,470,2,"Valider                                                                                            "
606,471,2,"- -                                                                                                 "
607,472,2,"Unite:                                                                                               "
608,473,2,"Couleur                                                                                               "
609,474,2,"Quantite                                                                                            "
610,475,2,"Normal                                                                                              "
611,476,2,"Cumulative                                                                                          "
612,477,2,"Le PaintShop (Garage)"
613,478,2,"Done"
614,479,2,"Parametres"
615,480,2,"Devise"
616,481,2,"Unite"
617,482,2,"Parametres"
618,443,1,"Exit                                                                                                "
619,444,1,"MenuStrip1                                                                                          "
620,445,1,"&File                                                                                               "
621,446,1,"&Exit                                                                                               "
622,447,1,"&Settings                                                                                           "
623,448,1,"Name                                                                                                "
624,449,1,"Car Name                                                                                            "
625,450,1,"Car Model                                                                                           "
626,451,1,"Formulas                                                                                            "
627,452,1,"Car                                                                                                 "
628,453,1,"Model:                                                                                              "
629,454,1,"Name:                                                                                               "
630,455,1,"Formula name:                                                                                       "
631,456,1,"Go                                                                                                  "
632,457,1,"Formula Family                                                                                      "
633,458,1,"Any                                                                                                 "
634,459,1,"BC                                                                                                  "
635,460,1,"2K                                                                                                  "
636,461,1,"- -                                                                                                 "
637,462,1,"Selected formula:                                                                                   "
638,463,1,"Type                                                                                                "
639,464,1,"Hue"
640,465,1,"Details                                                                                             "
641,466,1,"Total Quantity:                                                                                     "
642,467,1,"- -                                                                                                 "
643,468,1,"Currency:                                                                                           "
644,469,1,"Total Price:                                                                                        "
645,470,1,"Validate                                                                                            "
646,471,1,"- -                                                                                                 "
647,472,1,"Unit:                                                                                               "
648,473,1,"Color                                                                                               "
649,474,1,"Quantity                                                                                            "
650,475,1,"Normal                                                                                              "
651,476,1,"Cumulative                                                                                          "
652,477,1,"PaintShop (Garage)                                                                                  "
653,478,1,"Done"
654,479,1,"Settings"
655,480,1,"Currency"
656,481,1,"Unit"
657,482,1,"Settings"
659,445,2,"&Fichier3"
660,486,1,"&Update"
661,486,2,"&Mettre a jour"
662,487,1,"Browse file:"
663,487,2,"Chercher:"
664,488,1,"Update Application"
666,488,2,"Mettre a jour"
667,489,1,"variant"
669,490,1,"duplicate"
670,490,2,"duplique"
671,491,1,"Transactions History"
672,491,2,"Historiques Des transactions"
673,492,1,"Print"
674,492,2,"Imprimer"
675,493,1,"Color code"
676,493,2,"Code Couleur"
677,494,1,"Correction Mode"
678,494,2,"Mode Correction"
679,495,1,"New Price:"
680,495,2,"Nouveau Prix:"
681,496,1,"Edit"
682,496,2,"Editter"
683,497,1,"Car:"
684,497,2,"Voiture:"
685,498,1,"Car:"
686,498,2,"Voiture:"
687,499,1,"Correction"
688,499,2,"Correction"
689,500,1,"Year:"
690,500,2,"Année:"
691,501,1,"Save"
692,501,2,"Sauvegarder"
693,502,1,"Client Name:"
694,502,2,"Nom Client:"
695,503,1,"Contains"
696,503,2,"Contient"
697,504,1,"Contains"
698,504,2,"Contient"
699,505,1,"Contains"
700,505,2,"Contient"
702,506,2,"BD Ancienne"
703,507,1,"Code"
704,507,2,"Code"
705,508,1,"Year"
706,508,2,"Année"
707,509,1,"Client"
708,509,2,"Client"
709,511,1,"Color Code"
710,511,2,"Code Couleur"
711,512,1,"Name"
712,512,2,"Nom"
713,513,1,"Garage Price"
714,513,2,"Prix Garage"
715,514,1,"Default Price"
716,514,2,"Prix Defaut"
717,515,1,"Quantity"
718,515,2,"Quantité"
719,516,1,"Card Number:"
720,516,2,"Numero Carte:"
721,517,1,"Card Number"
722,517,2,"Numero Carte"
723,518,1,"Back"
724,518,2,"Revenir"
725,506,1,"Other DB"
726,520,1,"Search"
727,520,2,"Rechercher"
728,521,1,"Car:"
729,521,2,"Voiture:"
730,522,1,"Model:"
731,522,2,"Modèle:"
732,523,1,"Year:"
733,523,2,"Année:"
