"id_car","carImgPath","model","carName","carYear","seqnum","state","colorCodeLocation","tableName"
1,"Alfa Romeo.jpg                                                                                      ","1985","Alfa Romeo                                        ",,1,"U","0,1,2,3,4,5,6,13,15,17,18,19,22,23,24,26,","Alfa_Romeo"
2,"Aston Martin.jpg                                                                                    ","1985","Aston Martin                                      ",,9,"U","3,5,","Aston_Martin"
4,"bentley.jpg                                                                                         ","1985","Bentley                                           ",,3,"U",,"Bentley"
5,"bmw.jpg                                                                                             ","1985","BMW                                               ",,1,"U","0,1,2,3,4,5,10,","BMW"
6,"chery.jpg                                                                                           ","1985","Chery                                             ",,3,"U",,"Chery"
7,"chrysler.jpg                                                                                        ","1985","Chrysler                                          ",,2,"U","0,1,2,3,4,5,9,10,13,21,24,","Chrysler"
8,"Citroen.jpg                                                                                         ","1985","Citroen                                           ",,1,"U","0,1,2,3,4,5,6,9,10,20,27,","Citroen"
10,"Dacia.jpg                                                                                           ","1985","Dacia                                             ",,1,"U","1,3,4,5,13,17,20,","Dacia"
11,"daewoo.jpg                                                                                          ","1985","Daewoo                                            ",,1,"U","0,1,2,3,4,5,","Daewoo"
12,"Daihatsu.jpg                                                                                        ","1985","Daihatsu                                          ",,1,"U","0,1,3,4,5,19,20,24,","Daihatsu"
14,"Ferrari.jpg                                                                                         ","1985","Ferrari                                           ",,1,"U","0,1,2,6,9,13,19,22,26,","Ferrari"
15,"Fiat.jpg                                                                                            ","1985","Fiat                                              ",,1,"U","0,1,2,3,4,5,6,9,10,13,15,17,18,19,20,23,26,","Fiat"
16,"Ford.jpg                                                                                            ","1985","Ford America                                      ",,1,"U","1,2,4,5,10,13,19,","Ford_America"
17,"Ford.jpg                                                                                            ","1985","Ford Australia                                    ",,1,"U",,"Ford_Australia"
18,"Ford.jpg                                                                                            ","1985","Ford Europe                                       ",,2,"U","0,1,2,4,5,9,10,15,20,26,","Ford_Europe"
19,"GMC.jpg                                                                                             ","1985","GM                                                ",,1,"U","0,1,3,4,6,9,10,13,19,20,21,22,","GM"
20,"GMC.jpg                                                                                             ","1985","GM Australia                                      ",,1,"U",,"GM_Australia"
21,"Hino.jpg                                                                                            ","1985","Hino                                              ",,1,"U",,"Hino"
22,"Honda.jpg                                                                                           ","1985","Honda                                             ",,1,"U","0,1,2,3,4,5,10,19,20,26,","Honda"
23,"Hummer.jpg                                                                                          ","1985","Hummer                                            ",,1,"U","9,10,21,","Hummer"
24,"hyundai.jpg                                                                                         ","1985","Hyundai                                           ",,1,"U","0,1,2,3,4,5,6,9,10,23,28,29,","Hyundai"
25,"Isuzu.jpg                                                                                           ","1985","Isuzu                                             ",,1,"U","1,3,4,5,10,","Isuzu"
26,"ivecologo.jpg                                                                                       ","1985","Iveco                                             ",,1,"U","6,","Iveco"
27,"Jaguar.jpg                                                                                          ","1985","Jaguar                                            ",,1,"U","0,1,4,5,6,9,10,25,","Jaguar"
28,"Kia.jpg                                                                                             ","1985","Kia                                               ",,1,"U","0,2,3,4,5,9,10,20,","Kia"
29,,"1985","Kia Syria                                         ",,0,,,"Kia_Syria"
30,"LADA.jpg                                                                                            ","1985","Lada                                              ",,1,"U","0,1,2,3,4,5,10,13,17,19,22,25,26,","Lada"
31,"lamborghini.jpg                                                                                     ","1985","Lamborghini                                       ",,1,"U","4,26,","Lamborghini"
32,"Lancia.jpg                                                                                          ","1985","Lancia                                            ",,1,"U","0,1,2,3,4,5,6,9,10,13,14,17,19,22,26,","Lancia"
33,"lotus.jpg                                                                                           ","1985","Lotus                                             ",,1,"U","0,1,2,3,5,6,","Lotus"
34,"Man.jpg                                                                                             ","1985","Man                                               ",,1,"U",,"Man"
35,"Maserati.jpg                                                                                        ","1985","Maserati                                          ",,1,"U","0,1,4,6,19,26,","Maserati"
36,"Mazda.jpg                                                                                           ","1985","Mazda                                             ",,1,"U","0,1,2,3,4,5,6,10,13,17,20,23,24,26,","Mazda"
37,"Mercedes.jpg                                                                                        ","1985","Mercedes                                          ",,1,"U","0,1,2,3,5,6,9,10,14,20,21,28,","Mercedes"
38,"Mini.jpg                                                                                            ","1985","Mini                                              ",,1,"U","0,1,3,4,5,20,","Mini"
39,"Mitsubishi.jpg                                                                                      ","1985","Mitsubishi                                        ",,1,"U","0,1,2,3,4,5,6,10,17,23,29,","Mitsubishi"
40,"Mitsubishi.jpg                                                                                      ","1985","Mitsubishi Australia                              ",,1,"U",,"Mitsubishi_Australia"
43,"Nissan.jpg                                                                                          ","1985","Nissan Australia                                  ",,1,"U",,"Nissan_Australia"
44,"Opel.jpg                                                                                            ","1985","Opel                                              ",,1,"U","0,1,2,3,4,5,10,13,19,20,21,29,","Opel"
45,"Peugeot.jpg                                                                                         ","1985","Peugeot                                           ",,1,"U","0,1,2,3,4,5,6,9,10,20,22,","Peugeot"
46,"Porshe.Jpg                                                                                          ","1985","Porsche                                           ",,1,"U","1,2,3,4,5,6,9,10,13,14,17,22,26,","Porsche"
47,"proton.jpg                                                                                          ","1985","Proton                                            ",,1,"U","1,5,","Proton"
48,,"1985","Ral                                               ",,0,,,"Ral"
49,"Land Rover.jpg                                                                                      ","1985","Range Rover                                       ",,1,"U","2,","Range_Rover"
50,"Renault.jpg                                                                                         ","1985","Renault                                           ",,1,"U","0,1,2,4,5,6,9,10,13,17,19,20,27,28,","Renault"
51,"Rolls royce.jpg                                                                                     ","1985","Rolls Royce                                       ",,1,"U","0,1,2,3,5,6,20,23,","Rolls_Royce"
52,"Rover.jpg                                                                                           ","1985","Rover                                             ",,1,"U","0,1,2,3,4,5,6,9,10,17,20,","Rover"
53,"Saab.jpg                                                                                            ","1985","Saab                                              ",,1,"U","0,1,2,4,5,9,10,14,15,17,20,21,25,26,","Saab"
54,"Samsung.jpg                                                                                         ","1985","Samsung                                           ",,1,"U",,"Samsung"
55,"Scania.jpg                                                                                          ","1985","Scania                                            ",,1,"U",,"Scania"
56,"Seat.jpg                                                                                            ","1985","Seat                                              ",,1,"U","0,1,2,3,4,5,13,14,15,19,22,24,26,","Seat"
57,"Skoda.jpg                                                                                           ","1985","Skoda                                             ",,1,"U","1,2,5,10,14,15,19,25,","Skoda"
58,"smart.jpg                                                                                           ","1985","Smart                                             ",,1,"U","15,20,","Smart"
59,"SsangYong.jpg                                                                                       ","1985","Ssangyong                                         ",,1,"U","3,4,5,9,10,","Ssangyong"
60,"Subaru.jpg                                                                                          ","1985","Subaru                                            ",,1,"U","0,1,2,3,4,5,9,10,","Subaru"
61,"suzuki.jpg                                                                                          ","1985","Suzuki                                            ",,1,"U","0,1,2,3,4,5,6,9,10,13,15,20,21,22,24,25,","Suzuki"
62,"Toyota.jpg                                                                                          ","1985","Toyota                                            ",,1,"U","0,1,2,3,4,5,9,10,13,15,17,19,20,25,","Toyota"
63,"Toyota.jpg                                                                                          ","1985","Toyota Australia                                  ",,1,"U",,"Toyota_Australia"
64,"vauxhall.jpg                                                                                        ","1985","Vauxhall                                          ",,1,"U","0,1,2,4,5,13,","Vauxhall"
65,"volvo.jpg                                                                                           ","1985","Volvo                                             ",,1,"U","0,1,2,3,4,5,9,10,20,","Volvo"
75,"Audi-VW.JPG                                                                                         ","1985","Audi-VW                                           ",,3,"U","0,1,2,4,5,9,10,13,14,15,17,19,22,24,25,26,","Audi_VW"
76,"Nissan.jpg                                                                                          ","1985","Nissan-Datsun                                     ",,2,"U","0,1,2,3,4,5,9,10,20,21,24,","Nissan_Datsun"
77,"Brilliance.jpg                                                                                      ",,"Brilliance Auto                                   ",,1,"U",,"Brilliance_Auto"
78,"BYD.jpg                                                                                             ",,"BYD Auto                                          ",,1,"U",,"BYD_Auto"
79,"JAC.jpg                                                                                             ",,"JAC                                               ",,2,"U",,"JAC"
80,"Geely.jpeg                                                                                          ",,"Geely                                             ",,1,"U",,"Geely"
81,"Haima.jpg                                                                                           ",,"Haima Auto                                        ",,1,"U",,"Haima_Auto"
82,"saipa-logo-automotive-industry.jpg                                                                  ",,"Saipa                                             ",,0,"I",,"Saipa"
